Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
DESKTOP-5U6OQHT,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5U6OQHT,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5U6OQHT,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5U6OQHT,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5U6OQHT,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5U6OQHT,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
DESKTOP-5U6OQHT,,Option:CrashOnAuditFail,,Disabled,,0
DESKTOP-5U6OQHT,,Option:FullPrivilegeAuditing,,Disabled,,0
DESKTOP-5U6OQHT,,Option:AuditBaseObjects,,Disabled,,0
DESKTOP-5U6OQHT,,Option:AuditBaseDirectories,,Disabled,,0
DESKTOP-5U6OQHT,,FileGlobalSacl,,,,
DESKTOP-5U6OQHT,,RegistryGlobalSacl,,,,
